대분류,중분류,소분류,테스트 항목,테스트 절차,기대 결과
Web,로그인 페이지,소셜 로그인,Google 로그인 버튼,/login에서 Google로 로그인 버튼을 클릭한다,Google 인증 화면으로 이동하고 성공 후 홈으로 복귀한다
Web,로그인 페이지,소셜 로그인,Apple 로그인 버튼,/login에서 Apple로 로그인 버튼을 클릭한다,Apple 인증 화면으로 이동하고 성공 후 홈으로 복귀한다
Web,로그인 페이지,약관 문구,이용약관 링크,/login 하단 이용약관 링크를 클릭한다,이용약관 문서가 새 화면 또는 브라우저에서 열린다
Web,로그인 페이지,약관 문구,개인정보 처리방침 링크,/login 하단 개인정보 처리방침 링크를 클릭한다,개인정보 처리방침 문서가 새 화면 또는 브라우저에서 열린다
Web,OAuth 콜백 페이지,로딩 상태,로그인 처리 중 표시,OAuth 인증 후 /auth/callback에 진입한다,로그인 처리 중 문구와 로딩 UI가 표시된다
Web,OAuth 콜백 페이지,에러 상태,error 파라미터 처리,/auth/callback에 error 파라미터를 붙여 진입한다,로그인 처리 중 오류 안내가 표시되고 홈 이동이 가능하다
Web,OAuth 콜백 페이지,에러 상태,code 누락 처리,/auth/callback에 code 없이 진입한다,유효하지 않은 콜백 요청 안내가 표시된다
Web,OAuth 콜백 페이지,복귀 경로,redirect 복원,인증 필요 화면에서 로그인 후 콜백을 완료한다,로그인 전 요청한 화면으로 복귀한다
Web,홈 페이지,상단 헤더,로그인 버튼 노출,비로그인 상태로 홈에 진입한다,헤더 우측에 로그인 진입 액션이 표시된다
Web,홈 페이지,상단 헤더,유저 메뉴 노출,로그인 상태로 홈에 진입한다,헤더 우측에 사용자 메뉴가 표시된다
Web,홈 페이지,홈 배너,배너 표시,노출 상태인 배너가 있는 환경에서 홈에 진입한다,배너 이미지가 지정 순서대로 표시된다
Web,홈 페이지,홈 배너,배너 링크 이동,홈 배너를 클릭한다,관리자에 등록된 링크 URL로 이동한다
Web,홈 페이지,경험 유형 섹션,카테고리 카드 표시,홈의 경험 유형 섹션을 확인한다,8개 경험 유형 카드와 관련 경험 개수가 표시된다
Web,홈 페이지,경험 유형 섹션,경험 등록 버튼,경험 유형 섹션의 경험 등록 버튼을 클릭한다,경험 등록 모달이 열린다
Web,홈 페이지,프로젝트 목록 섹션,비로그인 빈 상태,비로그인 상태로 프로젝트 목록을 확인한다,로그인하고 자소서를 작성해보세요 문구가 표시된다
Web,홈 페이지,프로젝트 목록 섹션,로그인 빈 상태,프로젝트가 없는 계정으로 홈에 진입한다,생성된 프로젝트가 없어요 문구가 표시된다
Web,홈 페이지,프로젝트 목록 섹션,프로젝트 행 이동,문항이 있는 프로젝트 행을 클릭한다,해당 프로젝트의 첫 문항 작성 화면으로 이동한다
Web,홈 페이지,프로젝트 목록 섹션,문항 없는 프로젝트,question_id가 없는 프로젝트 행을 클릭한다,불필요한 이동이나 오류 없이 현재 화면이 유지된다
Web,홈 페이지,프로젝트 목록 섹션,프로젝트 삭제 메뉴,프로젝트 행의 옵션 메뉴에서 삭제를 클릭한다,삭제 확인 다이얼로그가 열린다
Web,프로젝트 생성 모달,1단계 기본 정보,회사명 필수값,회사명을 비우고 다음을 누른다,필수값 검증으로 2단계 이동이 막힌다
Web,프로젝트 생성 모달,1단계 기본 정보,직무 필수값,직무를 비우고 다음을 누른다,필수값 검증으로 2단계 이동이 막힌다
Web,프로젝트 생성 모달,1단계 기본 정보,채용공고 필수값,채용공고를 비우고 다음을 누른다,필수값 검증으로 2단계 이동이 막힌다
Web,프로젝트 생성 모달,1단계 기본 정보,글자수 카운터,회사명 직무 채용공고 인재상을 입력한다,각 입력 필드의 현재 글자수가 실시간으로 갱신된다
Web,프로젝트 생성 모달,1단계 기본 정보,상시 채용 토글,상시 채용 토글을 켠다,마감일 입력이 비활성화되고 기존 날짜가 초기화된다
Web,프로젝트 생성 모달,2단계 문항,문항 추가,추가하기 버튼을 누른다,문항 입력 행이 하나 추가된다
Web,프로젝트 생성 모달,2단계 문항,마지막 문항 삭제 제한,문항이 하나만 남은 상태를 확인한다,마지막 문항에는 삭제 액션이 노출되지 않거나 비활성화된다
Web,프로젝트 생성 모달,2단계 문항,문항 내용 필수값,문항 내용을 비우고 프로젝트 생성을 누른다,최소 1개의 문항을 입력해주세요 안내가 표시된다
Web,프로젝트 생성 모달,2단계 문항,글자수 제한 필수값,문항만 입력하고 글자수 제한을 비운다,문항과 글자수를 입력해주세요 안내가 표시된다
Web,프로젝트 생성 모달,제출 처리,중복 생성 방지,프로젝트 생성 버튼을 빠르게 여러 번 클릭한다,생성 중 상태에서 버튼이 잠기고 프로젝트가 중복 생성되지 않는다
Web,자소서 작성 페이지,상단 프로젝트 영역,프로젝트 정보 표시,/chat/{projectId}/{questionId}에 진입한다,회사명 직무 마감 정보가 올바르게 표시된다
Web,자소서 작성 페이지,상단 문항 탭,문항 전환,여러 문항이 있는 프로젝트에서 다른 문항 탭을 클릭한다,선택 문항과 해당 답변 채팅 내용으로 전환된다
Web,자소서 작성 페이지,상단 문항 탭,작성 완료 토글,문항 완료 체크를 변경한다,완료 상태가 서버에 저장되고 UI 상태가 유지된다
Web,자소서 작성 페이지,문항 관리 모달,새 문항 추가,+ 버튼으로 새 문항 추가 모달을 열고 저장한다,문항 탭에 새 문항이 추가된다
Web,자소서 작성 페이지,문항 관리 모달,문항 수정,자기소개서 문항 수정 모달에서 문항 내용을 변경한다,수정된 문항 내용이 탭과 본문에 반영된다
Web,자소서 작성 페이지,문항 관리 모달,마지막 문항 삭제 제한,마지막 남은 문항 삭제를 시도한다,마지막 문항은 삭제할 수 없습니다 토스트가 표시된다
Web,자소서 작성 페이지,경험 목록 패널,매칭 경험 표시,문항에 매칭되는 경험 목록을 확인한다,경험 카드와 공고 매칭 점수가 표시된다
Web,자소서 작성 페이지,경험 목록 패널,경험 선택 최대 3개,경험 카드를 3개 선택한 뒤 추가 선택을 시도한다,추가 선택이 막히거나 미선택 카드가 비활성화된다
Web,자소서 작성 페이지,경험 목록 패널,경험 상세 모달,경험 카드의 상세 보기 액션을 클릭한다,경험 유형 기간 STAR 내용이 모달에 표시된다
Web,자소서 작성 페이지,경험 목록 패널,경험 등록 후 스크롤,새 경험을 등록한다,경험 목록이 갱신되고 새 경험 위치로 스크롤된다
Web,자소서 작성 페이지,채팅 패널,빈 상태,채팅 이력이 없는 문항에 진입한다,경험을 선택하면 초안이 생성돼요 안내가 표시된다
Web,자소서 작성 페이지,채팅 입력창,Enter 전송,채팅 입력창에 텍스트를 입력하고 Enter를 누른다,사용자 메시지가 추가되고 AI 응답 요청이 시작된다
Web,자소서 작성 페이지,채팅 입력창,Shift Enter 줄바꿈,채팅 입력창에서 Shift Enter를 누른다,메시지는 전송되지 않고 줄바꿈이 입력된다
Web,자소서 작성 페이지,채팅 입력창,한글 조합 Enter,한글 IME 조합 중 Enter를 누른다,조합만 완료되고 메시지는 전송되지 않는다
Web,자소서 작성 페이지,채팅 입력창,자동 높이,여러 줄의 긴 텍스트를 입력한다,입력창 높이가 최대 높이까지 자연스럽게 증가한다
Web,자소서 작성 페이지,채팅 스트리밍,응답 수신,메시지를 전송해 AI 응답을 받는다,AI 응답이 순차적으로 표시되고 완료 후 입력 가능해진다
Web,자소서 작성 페이지,채팅 스트리밍,중단 버튼,AI 응답 중 중단 버튼을 클릭한다,스트리밍이 중단되고 입력창 포커스가 복구된다
Web,자소서 작성 페이지,채팅 에러,429 안내,요청 과다 응답을 발생시킨다,요청 과다 상황에 맞는 안내와 다시 시도 액션이 표시된다
Web,자소서 작성 페이지,채팅 에러,401 자동 갱신,채팅 요청 중 토큰 만료를 발생시킨다,토큰 갱신 후 요청이 재시도되거나 로그인 안내가 표시된다
Web,자소서 작성 페이지,채팅 에러,다시 시도,실패 메시지의 다시 시도를 클릭한다,직전 사용자 메시지로 요청이 다시 실행된다
Web,자소서 작성 페이지,초안 패널,초안 생성 버튼,경험을 선택하고 초안 생성하기를 클릭한다,초안 패널로 전환되고 생성된 자기소개서가 표시된다
Web,자소서 작성 페이지,초안 패널,AI 답변 반영,AI 메시지의 초안으로 반영 액션을 클릭한다,해당 AI 메시지가 초안 영역에 반영된다
Web,자소서 작성 페이지,초안 패널,저장하기,초안을 수정하고 저장하기를 클릭한다,자기소개서가 저장되었습니다 토스트가 표시되고 새로고침 후 유지된다
Web,자소서 작성 페이지,초안 패널,빈 초안 안내,저장된 자기소개서가 없는 문항을 연다,아직 작성된 자기소개서가 없어요 문구가 표시된다
Web,경험 등록 모달,1단계 경험 정보,경험 제목 필수값,경험 제목을 비우고 다음을 누른다,필수값 검증으로 다음 단계 이동이 막힌다
Web,경험 등록 모달,1단계 경험 정보,경험 유형 선택,경험 유형을 선택한다,선택한 유형이 칩 또는 선택 상태로 표시된다
Web,경험 등록 모달,1단계 경험 정보,기간 입력,시작일과 종료일을 입력한다,날짜가 지정 형식으로 표시되고 저장 payload에 포함된다
Web,경험 등록 모달,1단계 경험 정보,예시 불러오기,예시 불러오기 버튼을 클릭한다,예시 경험 데이터가 입력 필드에 채워진다
Web,경험 등록 모달,2단계 경험 정리,STAR 필드 입력,Situation Task Action Result를 모두 입력한다,각 텍스트가 유지되고 제출 가능 상태가 된다
Web,경험 등록 모달,2단계 경험 정리,자유 입력 방식,경험 정리 방법을 자유 입력으로 변경한다,자유 입력 textarea가 표시되고 STAR 필드와 충돌하지 않는다
Web,경험 등록 모달,제출 처리,경험 등록 성공,유효한 경험 정보를 입력하고 경험 등록하기를 클릭한다,경험 등록 성공 토스트가 표시되고 목록이 갱신된다
Web,경험 등록 모달,수정 처리,경험 수정 성공,기존 경험을 열어 내용을 수정하고 저장한다,경험 수정 성공 토스트가 표시되고 변경 내용이 반영된다
Web,리포트 페이지,접근 상태,비로그인 미리보기,비로그인 상태로 /report에 진입한다,블러 처리된 샘플 리포트와 로그인 CTA가 표시된다
Web,리포트 페이지,경험 분석 섹션,카테고리 카드,경험이 있는 계정으로 리포트에 진입한다,가장 두드러진 역량 카드와 보완 안내가 표시된다
Web,리포트 페이지,경험 분석 섹션,카테고리 도넛 차트,경험 카테고리가 6개 미만인 계정으로 확인한다,데이터 없는 카테고리도 0건으로 채워져 6개가 표시된다
Web,리포트 페이지,경험 분석 섹션,유형 막대 차트,경험 유형 차트를 확인한다,경험 유형이 고정 순서로 표시되고 값이 서버 집계와 일치한다
Web,리포트 페이지,경험 목록 섹션,빈 상태,경험이 없는 계정으로 리포트를 확인한다,경험 등록이 필요해요 또는 경험 등록 유도 문구가 표시된다
Web,리포트 페이지,경험 목록 섹션,경험 삭제,리포트 경험 목록에서 삭제를 확정한다,경험이 삭제되고 리포트 집계가 갱신된다
Web,프로필 페이지,상단 계정 정보,비로그인 안내,비로그인 상태로 /profile에 진입한다,로그인하면 계정 관리를 이용할 수 있어요 문구가 표시된다
Web,프로필 페이지,상단 계정 정보,로딩 스켈레톤,계정 정보 API 응답을 지연시킨다,계정 정보 영역에 로딩 UI가 표시된다
Web,프로필 페이지,플랜 카드 영역,월별 결제 탭,월별 결제 탭을 클릭한다,Logit 구독 플랜 카드가 표시된다
Web,프로필 페이지,플랜 카드 영역,MCP 결제 탭,MCP 결제 탭을 클릭한다,MCP 구독 카드와 MCP 토큰 복사 액션이 표시된다
Web,프로필 페이지,토큰 사용량 영역,진행바 100퍼센트 캡,토큰 사용률이 100퍼센트를 넘는 데이터를 확인한다,진행바가 100퍼센트 너비를 넘지 않는다
Web,프로필 페이지,결제 내역 영역,빈 결제 내역,최근 6개월 결제 내역이 없는 계정으로 확인한다,최근 6개월 동안 결제 내역이 없습니다 문구가 표시된다
Web,프로필 페이지,계정 관리 영역,구독 취소,구독 취소 하기를 클릭하고 확정한다,구독 취소 예약 성공 토스트가 표시된다
